id,city_bank,name,routing_bank,reserve,code_country
169,ALEXANDRIA,PENTAGON FEDERAL CREDIT UNION,231386331,$657417427.26,US
170,LOS ANGELES,CITY NATIONAL BANK,026013958,$202791363.81,US
171,MINNEAPOLIS,WELLS FARGO BANK,053901473,$748912368.62,US
172,NORTH MANKATO,FRANDSEN BANK & TRUST,091903695,$306935319.39,US
173,TAMPA,JPMORGAN CHASE,111001150,$817013393.61,US
174,RADCLIFFE,SECURITY STATE BANK,073913344,$124406245.42,US
175,AMHERST,M & T BANK,251472636,$384074523.37,US
176,MARKS,CITIZENS BANK,084204709,$870859078.79,US
177,BELOIT,FIRST NATIONAL BANK,075907073,$580657346.78,US
178,EATONTON,FARMERS & MERCHANTS BANK,061110557,$914734524.72,US
179,CROWLEY,FIRST NATIONAL BANK,065200515,$802788101.94,US
180,PITTSBURGH,PNC BANK,061203257,$751503530.29,US
181,RICHMOND,BANK OF AMERICA,063100714,$454223242.08,US
182,BREA,CREDIT UNION OF SOUTHERN CALIFORNIA,322273405,$981665249.39,US
183,APPLETON CITY,COMMUNITY FIRST BANK,101205063,$910218645.77,US
184,N CHAS,SOUTH STATE BANK,053274139,$212253631.38,US
185,SPEARMAN,FIRST STATE BANK,111317844,$771521822.08,US
186,AURORA,HERITAGE BANK,104908383,$861973735.77,US
187,GRAYSON,COMMERCIAL BANK,042103460,$81307199.49,US
188,LEWISTON,TD BANK,026013673,$792190551.98,US
189,PITTSBURGH,BANK OF NEW YORK MELLON,031100047,$133602099.65,US
190,KANSAS CITY,NBH BANK,102100772,$288002249.14,US
191,BIRMINGHAM,REGIONS BANK,053012029,$568222660.53,US
192,RICHMOND,BANK OF AMERICA,051000101,$765302762.45,US
193,IDA GROVE,UNITED BANK,073912073,$40204497.65,US
194,HOSMER,FARMERS STATE BANK,091407942,$409797209.23,US
195,CUNNINGHAM,FIRST NATIONAL BANK,101114277,$571621897.01,US
196,NEWARK,CITY NATIONAL BANK,021214875,$993074741.18,US
197,CLEVELAND,PNC BANK,074000515,$854517873.17,US
198,HENDERSON,CITIZENS NATIONAL BANK,111924350,$970308611.24,US
199,WHEELING,WESBANCO BANK INC,283071827,$849669393.73,US
200,BERESFORD,FIRST SAVINGS BANK,122402078,$331221949.37,US
201,DYERSBURG,SECURITY BANK,084307790,$321817567.00,US
202,MINNEAPOLIS,WELLS FARGO BANK,067091780,$745422259.23,US
203,BOWLING GREEN,COMMUNITY STATE BANK,081509449,$246247381.24,US
204,OXFORD,UNION BANK & TRUST,053112673,$253293436.40,US
205,EVANT,FIRST NATIONAL BANK,111912090,$414340646.18,US
206,ARDMORE,CITIZENS BANK,103102274,$750528631.18,US
207,NAPERVILLE,BMO HARRIS BANK,071106250,$76135818.10,US
208,SIOUX FALLS,GREAT WESTERN BANK,104922204,$540676778.91,US
209,BUFFALO,HSBC BANK,031101185,$739392921.92,US
210,KILLEEN,FIRST NATIONAL BANK,111906271,$708632285.42,US
211,ST. PAUL,US BANK,123206707,$678427074.29,US
212,SUGAR LAND,PROSPERITY BANK,114993786,$992263320.89,US
213,CINCINNATI,FIFTH THIRD BANK,083913949,$269419531.76,US
214,YORK,CORNERSTONE BANK,304987298,$729889902.00,US
215,LAS VEGAS,FIRST SECURITY BANK,122402311,$400000441.45,US
216,TALLAHASSEE,CAPITAL CITY BANK,063100882,$453045107.54,US
217,LOS ANGELES,BANK OF HOPE,125108942,$193256086.04,US
218,MAGNOLIA,FARMERS BANK,082901091,$710020344.32,US
219,PINE BLUFF,SIMMONS FIRST NATIONAL BANK,086518723,$941725899.03,US
220,JACKSON,TRUSTMARK NATIONAL BANK,313074493,$683076987.40,US
221,MEMPHIS,FIRST TENNESSEE BANK,064203610,$201771001.63,US
222,LOS ANGELES,BANK OF HOPE,122041235,$561863047.74,US
223,PITTSBURGH,PNC BANK,062205665,$657405138.22,US
224,MOULTRIE,AMERIS BANK,061219830,$932006995.81,US
225,WAYNE,VALLEY NATIONAL BANK,021206537,$281003677.36,US
226,EL MONTE,EAST WEST BANK,113012503,$720937485.25,US
227,AMHERST,M & T BANK,052100408,$573072991.78,US
228,ROCKPORT,CAMDEN NATIONAL BANK,011201458,$410149325.55,US
229,ATLANTA,FEDERAL RESERVE BANK,031000040,$114245135.85,US
230,WALTON,HERITAGE BANK,042107754,$112398617.70,US
231,MINNEAPOLIS,WELLS FARGO BANK,091400046,$158795642.03,US
232,LEWISTON,TD BANK,011103093,$69065986.34,US
233,SCOTT CITY,FIRST NATIONAL BANK,101104041,$315474603.66,US
234,KIOWA,FIRST STATE BANK,101103068,$759283698.29,US
235,CINCINNATI,FIFTH THIRD BANK,263190812,$114629142.70,US
236,IDA GROVE,UNITED BANK,073921569,$765226127.45,US
237,MINNEAPOLIS,WELLS FARGO BANK,121141534,$872282093.41,US
238,PORTLAND,UMPQUA BANK,121138741,$466718796.80,US
239,RICHMOND,BANK OF AMERICA,053201610,$544141443.81,US
240,HERMITAGE,FIRST NATIONAL BANK OF PENNSYLVANIA,241272079,$392105443.94,US
241,WILSON,BRANCH BANKING & TRUST COMPANY,031306029,$515910319.00,US
242,MCKINNEY,INDEPENDENT BANK,111024483,$412005720.33,US
243,HUGHES SPRINGS,FIRST NATIONAL BANK,113123625,$332137241.41,US
244,ALHAMBRA,EAST WEST BANK,122237515,$245727451.88,US
245,CINCINNATI,FIRST FINANCIAL BANK,074904394,$935415240.64,US
246,TULSA,VALLEY NATIONAL BANK,103102122,$815963387.28,US
247,TERRE HAUTE,FIRST FINANCIAL BANK,071103473,$325893067.01,US
248,VELVA,PEOPLES STATE BANK,091308805,$540293462.98,US
249,SUGARLAND,PROSPERITY BANK,114901147,$895392887.46,US
250,SENECA,COMMUNITY NATIONAL BANK,101104504,$469778466.14,US
251,LAFAYETTE,IBERIABANK,111025518,$396588738.64,US
252,ST. PAUL,US BANK,071000521,$915276333.41,US
253,JASPER,GERMAN AMERICAN BANCORP,086314367,$858988974.03,US
254,MINNEAPOLIS,WELLS FARGO BANK,031000503,$843108718.09,US
255,VICTOR,FARMERS STATE BANK,092905537,$834023710.68,US
256,RICHMOND,CAPITAL ONE,065400755,$941777958.26,US
257,ALEXANDRIA,PENTAGON FEDERAL CREDIT UNION,256078569,$357381041.86,US
258,LEBANON,FIRST TENNESSEE BANK,064107376,$878952958.07,US
259,BRENTWOOD,COMMERCIAL BANK,122043482,$872563973.41,US
260,TAMPA,JPMORGAN CHASE,072412927,$444308150.28,US
261,ERICK,FIRST BANK,103105116,$120837463.58,US
262,RICHMOND,BANK OF AMERICA,066005502,$238916178.07,US
263,SAN ANTONIO,INTERNATIONAL BANK OF COMMERCE,114902793,$684712313.46,US
264,ORD,FIRST NATIONAL BANK,104113217,$913440819.14,US
265,BIRNAMWOOD,BANNER BANK,075904526,$747205756.87,US
266,LOS ANGELES,BANK OF HOPE,122041235,$726485768.39,US
267,BROWNSTOWN,FIRST NATIONAL BANK,081211928,$598180006.88,US
268,ROSEMONT,BANCO POPULAR,071924319,$59379654.00,US
269,RICHMOND,BANK OF AMERICA,056007387,$986144705.18,US
270,PITTSBURGH,PNC BANK,061192630,$871190907.58,US
271,MILTON,FARMERS BANK,083905546,$580690887.26,US
272,MCKINNEY,INDEPENDENT BANK,111916326,$802830003.00,US
273,HENRICO,BANK OF AMERICA,103000017,$988292443.03,US
274,SIOUX FALLS,GREAT WESTERN BANK,073906005,$769147652.99,US
275,RICHMOND,BANK OF AMERICA,011000206,$731698980.76,US
276,CLEVELAND,PNC BANK,081000728,$417771839.02,US
277,CINCINNATI,FIFTH THIRD BANK,071903123,$383440982.60,US
278,STARKVILLE,CADENCE BANK,063114920,$335283381.88,US
279,CHICAGO,CITIBANK,321070104,$854320441.36,US
280,SUGARLAND,PROSPERITY BANK,114993731,$785129012.61,US
281,MIDLAND,CHEMICAL BANK,071214249,$933930453.22,US
282,MIAMI,CAPITAL BANK,053110374,$777328853.17,US
283,BOONEVILLE,FARMERS STATE BANK,042107738,$198518103.22,US
284,RICHMOND,BANK OF AMERICA,221172513,$862919412.22,US
285,RIVERSIDE,CITIZENS BANK,036076150,$615219130.59,US
286,PHILIP,FIRST NATIONAL BANK,091404369,$703661622.76,US
287,MIDLAND,CHEMICAL BANK,072413832,$487337538.04,US
288,MACON,HORIZON CREDIT UNION,281581047,$244770376.61,US
289,PINE BLUFF,SIMMONS FIRST NATIONAL BANK,086519311,$139650870.86,US
290,CINCINNATI,FIFTH THIRD BANK,063115738,$718491223.17,US
291,RICHMOND,CAPITAL ONE,026007883,$945673565.94,US
292,MINNEAPOLIS,WELLS FARGO BANK,026073079,$317311914.50,US
293,COLUMBUS,HUNTINGTON NATIONAL BANK,042101459,$168184074.27,US
294,HERMITAGE,FIRST NATIONAL BANK OF PENNSYLVANIA,031313261,$596763027.49,US
295,SUGAR LAND,PROSPERITY BANK,113110243,$263297862.16,US
296,ENGLEWOOD CLIFFS,CITIBANK WEST,122231935,$755937209.26,US
297,ALBANY,KEY BANK,021906934,$372644907.18,US
298,PITTSBURGH,PNC BANK,031207607,$986894355.94,US
299,PORTLAND,UMPQUA BANK,123202125,$84362980.21,US
300,WILSON,BRANCH BANKING & TRUST COMPANY,031307659,$265955103.85,US
301,MINNEAPOLIS,WELLS FARGO BANK,021101108,$704562726.53,US
302,JACKSON,TRUSTMARK NATIONAL BANK,084302122,$528676274.13,US
303,LE ROY,FIRST STATE BANK,091204404,$789752236.81,US
304,NAPERVILLE,BMO HARRIS BANK,075905431,$413750322.27,US
305,PAGOSA SPRINGS,CITIZENS BANK,102102864,$675633101.67,US
306,KINGSPORT,HORIZON CREDIT UNION,264279334,$313300383.76,US
307,ROSEMEAD,CATHAY BANK,055003337,$851697018.76,US
308,GOODLAND,FIRST NATIONAL BANK,101102548,$609858326.65,US
309,GOLVA,FIRST STATE BANK,091308481,$950101659.71,US
310,ALLENDALE,FIRST NATIONAL BANK,081211300,$606869429.16,US
311,N. CHAS,SOUTH STATE BANK,253271945,$353859950.80,US
312,MCKINNEY,INDEPENDENT BANK,113025147,$725875261.50,US
313,SUGAR LAND,PROSPERITY BANK,111024849,$398813902.87,US
314,FLEMINGSBURG,PEOPLES BANK,042102788,$883706194.31,US
315,LAFAYETTE,IBERIABANK,082901826,$516012167.29,US
316,RIVERSIDE,CITIZENS BANK,211170114,$465056526.05,US
317,HELENA,FIRST SECURITY BANK,092001208,$110671324.03,US
318,SUFFOLK,FARMERS BANK,051405670,$724472385.77,US
319,ST. PAUL,US BANK,091000022,$451924775.78,US
320,MIDLAND,CHEMICAL BANK,072413612,$186245837.84,US
321,SPRINGFIELD,GREAT SOUTHERN BANK,081503322,$530261595.28,US
322,KANSAS CITY,COMMERCE BANK,081500493,$970245470.77,US
323,LAKEWOOD,FIRSTBANK,107003612,$908230872.10,US
324,MOULTRIE,AMERIS BANK,061204612,$827673920.09,US
325,WAVERLY,FIRST NATIONAL BANK,073922940,$497646583.34,US
326,DALEVILLE,FIRST MERCHANTS BANK,074900657,$331326590.46,US
327,WICHITA FALLS,FIDELITY BANK,111924787,$615001623.76,US
328,ANADARKO,FIRST STATE BANK,103101505,$597774805.46,US
329,MCKINNEY,INDEPENDENT BANK,111024548,$262643703.62,US
330,BEDIAS,FIRST STATE BANK,113109377,$746162496.03,US
331,WILSON,BRANCH BANKING & TRUST COMPANY,231374961,$844843266.26,US
332,DRIPPING SPRINGS,"PIONEER BANK, SSB",113023990,$914507718.52,US
333,HERMITAGE,FIRST NATIONAL BANK OF PENNSYLVANIA,053102816,$991628690.62,US
334,LOUISBURG,FIRST NATIONAL BANK,101113812,$767693731.81,US
335,BELZONI,BANKPLUS,065302895,$303832338.94,US
336,NEW ORLEANS,WHITNEY BANK,065201802,$332798848.10,US
337,N. CHAS,SOUTH STATE BANK,053208040,$288668839.91,US
338,INDIANA,S & T BANK,043308468,$270327930.89,US
339,RICHMOND,BANK OF AMERICA,011104047,$713900229.65,US
340,PITTSBURGH,PNC BANK,042000398,$139756512.73,US
341,SAN JOSE,HERITAGE BANK,121143040,$280501122.48,US
342,BIRMINGHAM,COMPASS BANK,062205908,$186593720.32,US
343,HENRICO,BANK OF AMERICA,071214579,$836723131.79,US
344,LEE'S SUMMIT,CENTRAL BANK,101201892,$564423004.51,US
345,KANSAS CITY,NBH BANK,101005690,$107971645.25,US
346,SPOKANE,HORIZON CREDIT UNION,325182755,$722756371.10,US
347,TALLADEGA,FIRST BANK,062200961,$503304561.02,US
348,TUPELO,BANCORPSOUTH BANK,084104621,$275408894.65,US
349,LAFAYETTE,IBERIABANK,063112825,$44574340.56,US
350,LAKEWOOD,COLUMBIA STATE BANK,123308090,$208910867.99,US
351,WILSON,BRANCH BANKING & TRUST COMPANY,053201607,$816526967.35,US
352,ALBANY,KEYBANK,031302803,$534110980.39,US
353,ABERDEEN,GREAT WESTERN BANK,291481483,$649113123.45,US
354,BUFFALO,HSBC BANK,021301089,$570273282.30,US
355,CHICAGO,BMO HARRIS BANK,071923695,$537405045.83,US
356,WAGONER,FIRST BANK,103101165,$177083963.33,US
357,WILSON,BRANCH BANKING & TRUST COMPANY,252070309,$209432176.27,US
358,MINNEAPOLIS,WELLS FARGO BANK,107000275,$747739362.20,US
359,GRAHAM,INTERBANK,111905230,$212452620.44,US
360,ST. PAUL,US BANK,092900383,$13074817.18,US
361,BIRMINGHAM,COMPASS BANK,062101484,$953738534.36,US
362,UNION,UNITED BANK,081905289,$328515710.51,US
363,HERMITAGE,FIRST NATIONAL BANK,053112864,$127823770.24,US
364,MINNEAPOLIS,WELLS FARGO BANK,053100494,$709805330.57,US
365,ATLANTA,FIDELITY BANK,061119817,$565143666.12,US
366,BANCROFT,FIRST BANK,104903294,$981967282.21,US
367,GLENWOOD,BEAR STATE BANK,103102229,$90952536.50,US
368,HERMITAGE,FIRST NATIONAL BANK OF PENNSYLVANIA,055002480,$647056634.79,US
369,RIVERSIDE,CITIZENS BANK,011304517,$874267953.23,US
370,SCOTT CITY,SECURITY STATE BANK,101114691,$170471258.88,US
371,MALTA,FIRST SECURITY BANK,092101289,$766355631.60,US
372,LAKEWOOD,FIRSTBANK,107004352,$908461570.81,US
373,LONGVIEW,COMMUNITY BANK,111901959,$446372920.08,US
374,RICHMOND,BANK OF AMERICA,272471674,$749765477.66,US
375,ST. PAUL,US BANK,273970514,$595391592.90,US
376,HUGO,FIRST NATIONAL BANK,102103630,$441639210.96,US
377,NASHUA,FIRST STATE BANK,073922885,$374656790.75,US
378,OMAHA,FIRST NATIONAL BANK OF OMAHA,071918286,$547499614.83,US
379,MARION,HERITAGE BANK,073912808,$569343936.38,US
380,BIRMINGHAM,REGIONS BANK,064200765,$117255172.63,US
381,WILSON,BRANCH BANKING & TRUST COMPANY,055000259,$789646147.62,US
382,FORT OGLETHORPE,CAPITAL BANK,061101100,$618604491.61,US
383,SIOUX FALLS,GREAT WESTERN BANK,073920845,$269951120.86,US
384,HENNESSEY,COMMUNITY STATE BANK,103101589,$111411726.39,US
385,OLYMPIA,HERITAGE BANK,125105550,$24634917.94,US
386,LAKEWOOD,FIRSTBANK,102004519,$499107298.58,US
387,KINGFISHER,INTERBANK,103102546,$945253179.15,US
388,HALLETTSVILLE,PEOPLES STATE BANK,113121384,$120899728.80,US
389,BIRMINGHAM,COMPASS BANK,111914289,$328075705.25,US
390,GREENSBURG,MAINSOURCE BANK,274970186,$477870168.23,US
391,TUPELO,RENASANT BANK,084202837,$854860683.67,US
392,LAKEWOOD,FIRSTBANK,107002503,$928593293.09,US
393,ALBANY,KEYBANK,211174369,$960301743.43,US
394,MOULTRIE,AMERIS BANK,061201673,$939329523.07,US
395,TUPELO,BANCORPSOUTH BANK,084104621,$422558463.68,US
396,LINDEN,FIRST BANK,062101581,$532453592.64,US
397,FORT PAYNE,FIRST FIDELITY BANK,262285223,$680964834.47,US
398,RICHMOND,BANK OF AMERICA,122000043,$237453865.16,US
399,NEWPORT,COMMUNITY NATIONAL BANK,011601029,$774625540.86,US
400,EDINA,CITIZENS BANK,081504172,$822796939.57,US
401,EVANT,FIRST NATIONAL BANK,111914878,$76260299.03,US
