id,city_bank,name,routing_bank,reserve,code_country
62,RICHMOND,CAPITAL ONE,065405132,$629586671.28,US
63,CLEBURNE,FIRST FINANCIAL BANK,111908567,$598998070.89,US
64,RICHMOND,BANK OF AMERICA,084000945,$322087058.34,US
65,ROSEMONT,M B FINANCIAL BANK,071922476,$51014624.09,US
66,MOULTRIE,AMERIS BANK,061203325,$658366693.07,US
67,WAYNE,VALLEY NATIONAL BANK,021206566,$385751365.28,US
68,HENRICO,BANK OF AMERICA,122400724,$149791919.18,US
69,AMHERST,M & T BANK,022000046,$666670500.26,US
70,COLUMBUS,THE HUNTINGTON NATIONAL BANK,271972844,$651387295.24,US
71,HOT SPRINGS,BEAR STATE BANK,082901677,$502240075.84,US
72,LEE'S SUMMIT,CENTRAL BANK,101005483,$309639007.37,US
73,ATLANTA,FIDELITY BANK,063015537,$843791849.13,US
74,GRAY,STATE BANK AND TRUST COMPANY,061120178,$817605605.33,US
75,NAPERVILLE,BMO HARRIS BANK,091512031,$643741946.63,US
76,ENGLEWOOD CLIFFS,CITIBANK,321170282,$167168199.28,US
77,BUFFALO,HSBC BANK,026004828,$5827472.43,US
78,NAPERVILLE,BMO HARRIS BANK,071905846,$840543313.08,US
79,IDA GROVE,UNITED BANK,073914822,$291688296.32,US
80,MOOSE LAKE,FIRST NATIONAL BANK,091914820,$698933752.99,US
81,READING,SANTANDER BANK,226071237,$923876113.04,US
82,SPOKANE,BANNER BANK,122241831,$921266211.70,US
83,LEWISTOWN,GLACIER BANK,092900736,$989526096.84,US
84,KANSAS CITY,NBH BANK,101002949,$69044747.15,US
85,MCALESTER,FIRST NATIONAL BANK,103112358,$895068368.86,US
86,GIRARD,FIRST NATIONAL BANK,101102182,$947713628.65,US
87,MIAMI,CAPITAL BANK,064205087,$281445441.67,US
88,CANBY,FIRST SECURITY BANK,091203942,$190106827.83,US
89,BREA,CREDIT UNION OF SOUTHERN CALIFORNIA,322280870,$7613673.15,US
90,LUBBOCK,SECURITY BANK,111310841,$618116815.14,US
91,WESTON,CITIZENS BANK,051501451,$564725965.88,US
92,CARTHAGE,FIRST STATE BANK,111904150,$221259305.11,US
93,EVEREST,UNION STATE BANK,101104151,$118327442.44,US
94,MERIDIAN,CITIZENS NATIONAL BANK,065300211,$299241818.28,US
95,NAPERVILLE,BMO HARRIS BANK,091014898,$572551933.15,US
96,PINE BLUFF,SIMMONS FIRST NATL BK,082906494,$272191784.39,US
97,PITTSBURGH,PNC BANK,052100547,$940560034.24,US
98,JOHNSON,FIRST NATIONAL BANK,104905881,$322539727.99,US
99,PATON,COMMUNITY STATE BANK,073922296,$439663762.36,US
100,HICKSVILLE,NEW YORK COMMUNITY BANK,021207112,$170345726.65,US
101,MINDEN,FIRST BANK,104901827,$589088099.81,US
102,INDIANA,S & T BANK,043306855,$780562549.72,US
103,ODESSA,SECURITY BANK,112322634,$629274989.68,US
104,PHILIP,FIRST NATIONAL BANK,091404369,$214188475.04,US
105,BANGOR,FIRST NATIONAL BANK,091803957,$373685666.94,US
106,TAMPA,JPMORGAN CHASE,075902722,$113995545.51,US
107,SUGARLAND,PROSPERITY BANK,114904979,$388173063.24,US
108,OKARCHE,COMMUNITY NATIONAL BANK,103103354,$712996941.62,US
109,WILSON,BRANCH BANKING & TRUST COMPANY,053201607,$558492717.59,US
110,RICHMOND,BANK OF AMERICA,021404465,$821472842.17,US
111,NAPERVILLE,BMO HARRIS BANK,091800015,$623013506.45,US
112,SIOUX FALLS,GREAT WESTERN BANK,273970365,$373414308.80,US
113,OKLAHOMA CITY,FIRST FIDELITY BANK,122105760,$695716868.18,US
114,WALTON,HERITAGE BANK,042107754,$438325007.22,US
115,NAPERVILLE,BMO HARRIS BANK,071904478,$893989322.11,US
116,KANSAS CITY,SECURITY BANK,101101785,$765313058.30,US
117,BIRMINGHAM,COMPASS BANK,114907329,$364356178.19,US
118,YORK,CORNERSTONE BANK,104103421,$397804958.67,US
119,RALEIGH,FIRST CITIZENS BANK & TRUST COMPANY,067092022,$497304599.24,US
120,MC HENRY,FIRST NATIONAL BANK,071909046,$784898696.36,US
121,CATOOSA,BANK OF COMMERCE,103102481,$450525095.31,US
122,MONTICELLO,FIRST STATE BANK,071121963,$794459151.85,US
123,GUNTERSVILLE,CITIZENS BANK,062206431,$883586431.99,US
124,KALISPELL,GLACIER BANK,092901803,$3925431.68,US
125,SEDAN,FIRST NATIONAL BANK,101103466,$460945341.07,US
126,NAPERVILLE,BMO HARRIS BANK,075902065,$519078069.16,US
127,CLEVELAND,PNC BANK,242170031,$567549449.31,US
128,TALLAHASSEE,CAPITAL CITY BANK,063100688,$196647515.10,US
129,KIESTER,FIRST STATE BANK,091208154,$573213331.76,US
130,MESQUITE,FIRST STATE BANK,111923898,$680684835.01,US
131,WEWOKA,SECURITY STATE BANK,103109374,$299432623.24,US
132,BIRMINGHAM,REGIONS BANK,074014213,$631207855.21,US
133,HELENA,FIRST SECURITY BANK,092001208,$362695402.42,US
134,CAMDENTON,FIRST NATIONAL BANK,081507425,$223366125.94,US
135,BRANDON,COMMUNITY BANK,065301566,$691211351.13,US
136,TUPELO,BANCORPSOUTH,082901622,$422717477.92,US
137,LAKEWOOD,FIRSTBANK,107006075,$132293188.25,US
138,ST PAUL,US BANK,122238682,$884915516.79,US
139,CHICAGO,BYLINE BANK,071922874,$95094409.89,US
140,HERMITAGE,FIRST NATIONAL BANK OF PENNSYLVANIA,053112479,$888588643.76,US
141,HICKSVILLE,NEW YORK COMMUNITY BANK,226072647,$375497161.16,US
142,STARKVILLE,CADENCE BANK,284272654,$92202429.77,US
143,NORTH CHGO,GREAT LAKES CREDIT UNION,271992468,$482890322.71,US
144,HERMITAGE,FIRST NATIONAL BANK,043318092,$176439905.97,US
145,BLAIRSVILLE,UNITED COMMUNITY BANK,061112843,$84834480.37,US
146,PITTSBURGH,PNC BANK,083000920,$970143233.88,US
147,INDIANA,S & T BANK,243373206,$371464123.88,US
148,NORTH CHGO,GREAT LAKES CREDIT UNION,271992468,$453828947.44,US
149,FLEMINGSBURG,PEOPLES BANK,042102788,$410722169.80,US
150,SUGAR LAND,PROSPERITY BANK,111908143,$863987525.76,US
151,PORTLAND,UMPQUA BANK,121142627,$373081498.42,US
152,RICHMOND,FIRST BANK,274970791,$460276505.97,US
153,OLYMPIA,HERITAGE BANK,125105550,$818977666.01,US
154,AVILLA,COMMUNITY STATE BANK,074906800,$307898770.59,US
155,HERMITAGE,FIRST NATIONAL BANK,255070351,$704259560.08,US
156,OSSEO,UNITED BANK,091806381,$507387067.02,US
157,LAKEWOOD,FIRSTBANK,107002503,$973328729.95,US
158,CROSBYTON,CITIZENS NATIONAL BANK,111313631,$793984720.97,US
159,RICHMOND,CAPITAL ONE,111100792,$488431373.67,US
160,RICHMOND,BANK OF AMERICA,081904808,$406125977.40,US
161,WAYNE,VALLEY NATIONAL BANK,021206537,$693913894.77,US
162,HERMITAGE,FIRST NATIONAL BANK OF PENNSYLVANIA,055002480,$125358476.95,US
163,ALTON,LIBERTY BANK,081025415,$567420310.62,US
164,CINCINNATI,FIRST FINANCIAL BANK,242074425,$17031022.07,US
165,PINE BLUFF,SIMMONS FIRST NATL BK,082904166,$546372319.14,US
166,READING,SANTANDER BANK,221271265,$971784221.00,US
167,HICKSVILLE,NEW YORK COMMUNITY BANK,221471104,$535406559.43,US
168,MIAMI,CAPITAL BANK,053110374,$722529107.02,US
169,MARIETTA,PEOPLES BANK,244170275,$325321975.47,US
170,CINCINNATI,FIFTH THIRD BANK,042100272,$724042108.27,US
171,BEECHER,FIRST COMMUNITY BANK,071911652,$978291857.98,US
172,ALBANY,KEYBANK,011104173,$550651653.94,US
173,MINNEAPOLIS,FEDERAL RESERVE BANK,101000048,$694042270.91,US
174,HILLSBORO,FARMERS STATE BANK,075910387,$353757517.83,US
175,OKLAHOMA CITY,FIRST FIDELITY BANK,122105728,$147811018.74,US
176,BRANDON,COMMUNITY BANK,084202235,$569329861.97,US
177,ST. PAUL,US BANK,121122676,$409278726.54,US
178,PHILADELPHIA,UNITED BANK,036002810,$212578109.41,US
179,DALEVILLE,FIRST MERCHANTS BANK,074908303,$301281157.09,US
180,HERMITAGE,FIRST NATIONAL BANK,053112660,$349004493.08,US
181,WAVERLY,SECURITY STATE BANK,073921860,$7688824.40,US
182,CONWAY,CENTENNIAL BANK,082008732,$641751859.34,US
183,MEMPHIS,INDEPENDENT BANK,084008426,$871286812.87,US
184,MERCERSBURG,FIRST COMMUNITY BANK,031309851,$5160485.95,US
185,OMAHA,FIRST NATIONAL BANK OF OMAHA,104900048,$742753915.83,US
186,CARUTHERSVILLE,FIRST STATE BANK,081504855,$398997127.16,US
187,SPOKANE,BANNER BANK,123204110,$192285297.58,US
188,HICKSVILLE,NEW YORK COMMUNITY BANK,226071020,$249648884.56,US
189,COLUMBUS,THE HUNTINGTON NATIONAL BANK,271070788,$816224402.69,US
190,NEW ORLEANS,LIBERTY BANK,065002108,$807312259.27,US
191,ONTARIO,CITIZENS BUSINESS BANK,122238543,$319097854.86,US
192,DWIGHT,FIRST NATIONAL BANK,071106218,$175864629.68,US
193,ELLETTSVILLE,PEOPLES STATE BANK,074907414,$526050488.82,US
194,JACKSON,TRUSTMARK NATIONAL BANK,084008358,$478948817.61,US
195,HERMITAGE,FIRST NATIONAL BANK OF PENNSYLVANIA,031318596,$567717729.06,US
196,STRATFORD,FIRST STATE BANK,111308633,$490719825.16,US
197,NAPERVILLE,BMO HARRIS BANK,071925062,$1173906.48,US
198,BOZEMAN,FIRST SECURITY BANK,092900613,$916846588.66,US
199,CINCINNATI,FIFTH THIRD BANK,071923190,$556936370.90,US
200,RUSTON,FIRST NATIONAL BANK,111101225,$421875549.84,US
201,CLEVELAND,PNC BANK,242070966,$302566599.63,US
202,SPOKANE,BANNER BANK,122241831,$976394197.70,US
203,TUPELO,RENASANT BANK,061120217,$178381275.18,US
204,BELZONI,BANKPLUS,065303069,$939054527.48,US
205,OLYMPIA,HERITAGE BANK,325170835,$718531892.39,US
206,HOTCHKISS,FIRST STATE BANK,107001520,$505426350.82,US
207,TAMPA,JPMORGAN CHASE,071074528,$868436288.18,US
208,GOLVA,FIRST STATE BANK,091308481,$433169602.13,US
209,NAPERVILLE,BMO HARRIS BANK,071921794,$294576125.18,US
210,CAMERON,FARMERS STATE BANK,101202503,$326134718.52,US
211,WARRENSBURG,CENTRAL BANK,101903679,$976601115.29,US
212,WAYNESBORO,FIRST STATE BANK,065301689,$276171490.20,US
213,DURHAM,SELF-HELP CREDIT UNION,253184472,$311019924.76,US
214,N CHAS,SOUTH STATE BANK,053274139,$868776153.90,US
215,RICHMOND,BANK OF AMERICA,084000945,$901749276.74,US
216,CARROLLTON,FIRST NATIONAL BANK,083902196,$356738015.83,US
217,READING,SANTANDER BANK,011075202,$383850044.93,US
218,PONDCREEK,FIRST STATE BANK,103103749,$362625436.35,US
219,NAPERVILLE,BMO HARRIS BANK,071913650,$52293407.46,US
220,MARKESAN,FARMERS STATE BANK,075903763,$72892727.84,US
221,ENGLEWOOD CLIFFS,CITIBANK,111901962,$35188330.95,US
222,READING,SANTANDER BANK,211073499,$995123230.21,US
223,RICHMOND,BANK OF AMERICA,067007949,$100902121.53,US
224,DURHAM,SELF-HELP CREDIT UNION,253184427,$824621180.01,US
225,LEWISTON,TD BANK,211370095,$324122552.83,US
226,SPOKANE,BANNER BANK,121137807,$584222917.81,US
227,MACON,STATE BANK AND TRUST COMPANY,061019742,$107406834.41,US
228,LATROBE,COMMERCIAL BANK,043305092,$612301830.36,US
229,IDA GROVE,UNITED BANK,073908278,$477705878.58,US
230,CINCINNATI,FIFTH THIRD BANK,072405455,$348408810.31,US
231,BLAIRSVILLE,UNITED COMMUNITY BANK,061119493,$227211233.47,US
232,ELBERTON,PINNACLE BANK,061101294,$589730124.25,US
233,ELK RIVER,FIRST NATIONAL BANK,091903844,$120314773.91,US
234,HERMITAGE,FIRST NATIONAL BANK,053101341,$851689857.58,US
235,DETROIT,COMERICA BANK,067012099,$336040706.22,US
236,SEARCY,FIRST SECURITY BANK,082904027,$590266448.46,US
237,HERMITAGE,FIRST NATIONAL BANK,053106799,$956635290.07,US
238,CARLSBAD,PACIFIC WESTERN BANK,122244171,$999288190.64,US
239,CHISHOLM,FIRST NATIONAL BANK,091200738,$422207072.47,US
240,ELIZABETH CITY,XENITH BANK,253173661,$947793070.11,US
241,PITTSBURGH,PNC BANK,021201943,$723170783.34,US
242,NAPERVILLE,BMO HARRIS BANK,122105854,$854632955.96,US
243,ROSEMONT,BANCO POPULAR,111925359,$306728475.52,US
244,WADLEY,FIRST BANK,062203638,$824619359.45,US
245,BLAIRSVILLE,UNITED COMMUNITY BANK,061119901,$83993875.93,US
246,FARGO,CORNERSTONE BANK,091308371,$130667455.93,US
247,GILMER,FIRST NATIONAL BANK,111914302,$492481200.53,US
248,MOTT,COMMERCIAL BANK,091301815,$913323767.93,US
249,RICHMOND,CAPITAL ONE,111101157,$986288093.88,US
250,NAPERVILLE,BMO HARRIS BANK,071904478,$512074223.96,US
251,MERIDIAN,GREAT SOUTHERN BANK,065303784,$313540313.05,US
252,OURAY,CITIZENS STATE BANK,102103258,$586968100.94,US
253,N. CHAS,SOUTH STATE BANK,053207986,$856460946.28,US
254,TAMPA,JPMORGAN CHASE,113193723,$844394948.14,US
255,RICHMOND,BANK OF AMERICA,026007508,$124862741.90,US
256,DANVILLE,FIRST SAVINGS BANK,271171674,$348074769.81,US
257,WELLS,PEOPLES STATE BANK,091215529,$752755834.34,US
258,CLOVIS,CITIZENS BANK,112201218,$47659073.85,US
259,KALISPELL,GLACIER BANK,092905498,$530221424.11,US
260,RICHMOND,BANK OF AMERICA,082900487,$693056784.14,US
261,LIPAN,FIRST NATIONAL BANK,111908758,$30698003.76,US
262,JAMESTOWN,PEOPLES BANK,081518113,$276002482.92,US
263,ST. PAUL,US BANK,083900732,$518866121.56,US
264,BUFFALO,HSBC BANK,221371822,$692771291.52,US
265,SAN ANGELO,FIRST FINANCIAL BANK,111306871,$545737303.92,US
266,WAYNE,VALLEY NATIONAL BANK,066010351,$912563602.11,US
267,TUPELO,BANCORP SOUTH,113101773,$38353746.25,US
268,ELMORE CITY,FIRST STATE BANK,103107402,$588150510.09,US
269,CARLSBAD,PACIFIC WESTERN BANK,122239063,$277334750.88,US
270,TUPELO,BANCORPSOUTH BANK,082001881,$493846051.41,US
271,BIRMINGHAM,COMPASS BANK,107006936,$425051307.90,US
272,BRANDON,COMMUNITY BANK,084202235,$561311555.31,US
273,MESQUITE,FIRST STATE BANK,111923898,$923359050.87,US
274,LIVINGSTON,FIRST NATIONAL BANK,113105452,$681322868.08,US
275,TUPELO,RENASANT BANK,084202879,$536710279.64,US
276,TROY,FIRST BANK,053104568,$388646551.46,US
277,SIOUX RAPIDS,FIRST STATE BANK,073921132,$839597229.35,US
278,FRANKFORT,UNITED BANK & CAPITAL TRUST COMPANY,042102555,$255566817.58,US
279,NAPERVILLE,BMO HARRIS BANK,075912233,$203269307.79,US
280,PITTSBURG,BANK OF NEW YORK MELLON,021908288,$744673203.12,US
281,IDA GROVE,UNITED BANK,073908278,$111398018.18,US
282,TUPELO,BANCORPSOUTH,062202956,$484778785.61,US
283,KANSAS CITY,COMMERCE BANK,103912956,$388956918.99,US
284,ST PAUL,US BANK,071004200,$321534532.56,US
285,UNION GROVE,COMMUNITY STATE BANK,075907002,$726324449.21,US
286,COLUMBUS,THE HUNTINGTON NATIONAL BANK,071916916,$666010657.84,US
287,WILLACOOCHEE,THE PEOPLES BANK,061212727,$435954794.65,US
288,SAN DIEGO,MUFG UNION BANK,122241501,$191530187.57,US
289,METAIRIE,FIDELITY BANK,065405381,$247160680.69,US
290,MIAMI,CAPITAL BANK,067009280,$68266462.91,US
291,BIRMINGHAM,COMPASS BANK,111914289,$877708783.12,US
292,ARLINGTON,CITIZENS STATE BANK,091401919,$998250683.24,US
293,MINNEAPOLIS,WELLS FARGO BANK,061101155,$474807145.61,US
294,CONWAY,CENTENNIAL BANK,082904030,$184903569.80,US
295,SIOUX FALLS,GREAT WESTERN BANK,091408734,$830549623.52,US
296,BEN WHEELER,FIRST STATE BANK,111909443,$320770894.43,US
297,WELLINGTON,SECURITY STATE BANK,101101057,$706713907.25,US
298,CHICAGO,BYLINE BANK,071001533,$919904086.40,US
299,FT. LAUDERDALE,STONEGATE BANK,067015973,$783588215.88,US
300,EL MONTE,EAST WEST BANK,125008165,$362941289.87,US
301,ALLENDALE,FIRST NATIONAL BANK,081220087,$472734865.35,US
302,DOWNEY,FINANCIAL PARTNERS CREDIT UNION,322078804,$18952822.28,US
303,WINTERS,SECURITY STATE BANK,111317637,$951771423.51,US
304,LEE'S SUMMIT,CENTRAL BANK,101114646,$674006454.89,US
305,PITTSBURGH,PNC BANK,031302447,$127256522.64,US
306,ROGERS,PINNACLE BANK,082908829,$365569673.44,US
307,DRIPPING SPRINGS,"PIONEER BANK, SSB",113125380,$250929972.09,US
308,GRAHAM,FIRST STATE BANK,111312894,$694821514.87,US
309,MCALESTER,FIRST NATIONAL BANK,103112358,$483435004.22,US
310,ALEXANDRIA,PENTAGON FEDERAL CREDIT UNION,254075454,$16937957.87,US
311,EL PASO,BANK OF THE WEST,112025342,$271063217.18,US
312,LAKEWOOD,FIRSTBANK,122106219,$746347631.58,US
313,CINCINNATI,FIFTH THIRD BANK,242272968,$82886934.86,US
314,HAWTHORNE,UNIFY FINANCIAL FEDERAL CREDIT UNION,261378652,$697317259.38,US
315,BRANDON,COMMUNITY BANK,084202235,$248084197.53,US
316,JASPER,GERMAN AMERICAN BANCORP,083906707,$820063093.95,US
317,SIOUX FALLS,GREAT WESTERN BANK,104101397,$342840367.23,US
318,LAKEWOOD,COLUMBIA STATE BANK,123206011,$145753167.24,US
319,LAKEWOOD,COLUMBIA STATE BANK,123206778,$430396615.92,US
320,WAYNE,VALLEY NATIONAL BANK,021213339,$309927765.57,US
321,SPOKANE,BANNER BANK,122243208,$532080178.11,US
322,BILLINGS,GLACIER BANK,292970744,$281438235.00,US
323,ELKHORN,PEOPLES BANK,075917898,$832146230.48,US
324,HENRICO,BANK OF AMERICA,081000032,$408083111.53,US
325,SANTA FE,FIRST NATIONAL BANK,112207403,$355876657.12,US
326,WEWOKA,SECURITY STATE BANK,103109374,$791240019.55,US
327,WILSON,BRANCH BANKING & TRUST COMPANY,057000668,$224133235.50,US
328,POWHATAN POINT,FIRST NATIONAL BANK,043211160,$584959454.04,US
329,EL MONTE,EAST WEST BANK,026013796,$461484271.49,US
330,ALBANY,KEY BANK,124303007,$93906811.34,US
331,LEWISTON,TD BANK,036001808,$133955684.78,US
332,ITASCA,FIRST MIDWEST BANK,071917326,$250051097.35,US
333,CINCINNATI,FIFTH THIRD BANK,072402788,$51405792.98,US
334,HARBOR SPRINGS,FIRST COMMUNITY BANK,072406771,$28436394.71,US
335,MACON,STATE BANK AND TRUST COMPANY,061019506,$227684553.53,US
336,MINNEAPOLIS,WELLS FARGO BANK,121141534,$244744234.44,US
337,LAKEWOOD,FIRSTBANK,107001672,$677241025.84,US
338,MOULTRIE,AMERIS BANK,053208066,$694367018.51,US
339,EL MONTE,EAST WEST BANK,121001865,$490158639.36,US
340,GENESEO,CENTRAL BANK,071105002,$3316696.61,US
341,BIRMINGHAM,REGIONS BANK,084306953,$355110700.80,US
342,JACKSON,TRUSTMARK NATIONAL BANK,063205208,$766186633.58,US
343,BELOIT,FIRST NATIONAL BANK,075907073,$24303640.53,US
344,CINCINNATI,FIRST FINANCIAL BANK,041203811,$615639223.65,US
345,LEWISTON,TD BANK,031207801,$282474466.78,US
346,MIAMI,CAPITAL BANK CORPORATION,053112217,$317039844.71,US
347,TUPELO,BANCORP SOUTH,084300603,$3125115.28,US
348,CINCINNATI,FIRST FINANCIAL BANK,044072298,$97518539.17,US
349,PINE BLUFF,SIMMONS FIRST NATIONAL BANK,081504651,$337029266.58,US
350,JACKSON,TRUSTMARK NATIONAL BANK,113024177,$99792699.57,US
351,ALBANY,KEY BANK,021300077,$991012409.10,US
352,MINERAL WELLS,FIRST FINANCIAL BANK,111919433,$643407087.12,US
353,COLUMBUS,THE HUNTINGTON NATIONAL BANK,041002203,$441082010.58,US
354,SUGAR LAND,PROSPERITY BANK,113024504,$610876767.81,US
355,MOULTRIE,AMERIS BANK,063013597,$281391472.51,US
356,NEW CASTLE,CITIBANK,322271724,$9521002.38,US
357,LEWISTON,TD BANK,211274450,$527123613.66,US
358,SPOKANE,BANNER BANK,125008220,$408266489.97,US
359,WILSON,BRANCH BANKING & TRUST COMPANY,031307659,$214093011.21,US
360,CINCINNATI,FIFTH THIRD BANK,063115738,$572925308.34,US
361,STORM LAKE,CENTRAL BANK,073920557,$128582032.12,US
362,MOULTRIE,AMERIS BANK,061020786,$571645945.07,US
363,MCPHERSON,FARMERS STATE BANK,101108380,$696982307.82,US
364,CLEVELAND,PNC BANK,081001727,$826105499.55,US
365,BIRMINGHAM,REGIONS BANK,065404913,$671156214.26,US
366,NEW BRITAIN,WEBSTER BANK,211174343,$548172806.99,US
367,CHAMPAIGN,BUSEY BANK,071100719,$502835182.72,US
368,KANSAS CITY,NBH BANK,102102916,$386220402.60,US
369,HENRICO,BANK OF AMERICA,114913164,$280638117.38,US
370,ELLSWORTH,CITIZENS STATE BANK,101102496,$800125639.55,US
371,PITTSBURGH,PNC BANK INC. - BALTIMORE,055000372,$818750265.70,US
372,SAN ANTONIO,INTERNATIONAL BANK OF COMMERCE,114012641,$117887149.15,US
373,BELOIT,FIRST NATIONAL BANK,101101866,$294370405.66,US
374,PITTSBURGH,PNC BANK,031100089,$252645711.39,US
375,RICHMOND,CAPITAL ONE,065201064,$689521872.44,US
376,CENTRAL CITY,FIRST STATE BANK,083905203,$281514383.89,US
377,CLUTE,FIRST STATE BANK,113123366,$293472120.80,US
378,STARKVILLE,CADENCE BANK,061120246,$138372405.67,US
379,CHILDRESS,FIRST BANK & TRUST,111302545,$670552662.51,US
380,KANSAS CITY,NBH BANK,102100772,$42674936.82,US
381,WAYNESVILLE,SECURITY BANK,081518045,$890426300.91,US
382,ROCK PORT,CITIZENS BANK,101204886,$136360770.15,US
383,BREA,CREDIT UNION OF SOUTHERN CALIFORNIA,322280252,$593303603.22,US
384,WILSON,BRANCH BANKING & TRUST COMPANY,031904395,$519081262.84,US
385,OMAHA,FIRST NATIONAL BANK,071918286,$836984461.34,US
386,ROSEMONT,M B FINANCIAL BANK,122244184,$552920467.26,US
387,WAYNOKA,FIRST STATE BANK,103103642,$275914479.17,US
388,ROSEMONT,M B FINANCIAL BANK,071004161,$597680004.24,US
389,TAMPA,JPMORGAN CHASE,267091263,$980516766.50,US
390,UNIONVILLE,FARMERS BANK,101903336,$119111057.32,US
391,TUPELO,BANCORP SOUTH,084003654,$251903138.46,US
392,JASPER,FIRST NATIONAL BANK,113123560,$506197633.65,US
393,WATKINS,FARMERS STATE BANK,091911797,$761282769.51,US
394,KANSAS CITY,NBH BANK,101006699,$359816306.28,US
395,STERLING,FIRST BANK,101102438,$53799044.47,US
396,RICHMOND,BANK OF AMERICA,021000322,$670494720.88,US
397,HERMITAGE,FIRST NATIONAL BANK,043001024,$918607128.31,US
398,BIRMINGHAM,COMPASS BANK,314970664,$658063605.27,US
399,RICHMOND,CAPITAL ONE,221472776,$44178200.80,US
400,LIVINGSTON,FIRST NATIONAL BANK,113105452,$924071773.05,US
401,COZAD,FIRST BANK,104102574,$793119562.37,US
402,COLUMBUS,THE HUNTINGTON NATIONAL BANK,041205673,$281100363.72,US
